"subject"	"birthdate"	"deathdate"	"lifespan"	"species"	"sex"	"housing"	"event"	"max_bw"	"experimental"	"source"
"12102"	2014-03-07	2014-03-12	0.0136941279579316	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"5848"	2014-03-19	2014-04-16	0.0766871165644172	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"5848"	2014-03-19	2014-04-16	0.0766871165644172	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"5848"	2014-03-19	2014-04-16	0.0766871165644172	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3109"	2014-05-21	2014-11-16	0.490249780893953	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3109"	2014-05-21	2014-11-16	0.490249780893953	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3109"	2014-05-21	2014-11-16	0.490249780893953	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12640"	2014-12-02	2014-12-02	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12640"	2014-12-02	2014-12-02	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12640"	2014-12-02	2014-12-02	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"10089"	1983-10-09	NA	30.6200701139351	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"852007"	1985-01-23	NA	29.0863277826468	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"891360"	1989-11-10	NA	24.5289219982472	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"103951"	1993-01-12	NA	21.8585670464505	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"103956"	1993-02-28	NA	21.4833479404032	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"950024"	1995-03-23	NA	19.7441936897458	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"31131"	1995-12-01	NA	18.7390446976337	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"101118"	1996-08-03	NA	18.3336985100789	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"981003"	1998-04-08	NA	16.2001533742331	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"981010"	1998-06-21	NA	15.9974802804557	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"1955"	1999-02-23	NA	15.4907975460123	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"7230"	1999-05-27	NA	15.3209903593339	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"755939"	1999-03-21	NA	15.3648115687993	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"21299"	2004-09-27	NA	9.30105170902717	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"6223"	2001-12-14	NA	12.1466914986854	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M01236"	2001-12-27	NA	12.3959246275197	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H20235"	2002-12-06	NA	11.4345968448729	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"II943"	2004-06-27	NA	10.3965819456617	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"A05177"	2005-05-24	NA	9.39691060473269	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"9245"	2005-06-17	NA	8.66290534618756	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"9018"	2005-05-17	NA	9.41608238387379	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"725"	2006-02-20	NA	8.21647677475898	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025028"	2006-10-10	NA	8.0138036809816	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"II1118"	2006-04-09	NA	8.53691936897458	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"675008"	2007-04-25	NA	7.39756792287467	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"A70397"	2007-07-29	NA	7.12642418930762	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M07013"	2007-03-13	NA	7.55915863277826	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"II1236"	2008-01-06	NA	6.86897458369851	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025029"	2009-12-08	NA	4.85046012269939	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"90168"	2009-04-02	NA	5.74605609114812	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"771854"	2014-08-16	NA	0.369741454864154	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025021"	1997-05-27	NA	6.77311568799299	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"II611"	2000-11-08	NA	3.31671779141104	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025025"	2001-04-06	NA	8.44379929886065	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025026"	2002-08-12	NA	7.09355828220859	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"II572"	1999-02-21	NA	13.2778264680105	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"675008"	2007-04-25	NA	7.39756792287467	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"1050S"	1991-06-14	NA	12.3438869412796	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"34224"	1991-11-09	NA	11.9878396143734	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"1203S"	1993-03-18	NA	10.5828220858896	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M95135"	1995-08-12	NA	16.3836546888694	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"100065"	2010-04-24	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"120600"	2012-12-22	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"1206"	1992-10-07	NA	6.7101226993865	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M96140"	1996-11-08	NA	13.5599255039439	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"GORG13"	2002-08-11	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"GORG15"	2005-07-28	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"GORG18"	2012-05-01	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"GORG19"	2013-02-16	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"840021"	1984-06-03	NA	28.0866564417178	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M93064"	1993-04-24	NA	18.8787248028046	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"8071"	2003-04-19	NA	8.84640666082384	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"8228"	2004-02-04	NA	8.04940841367222	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"9524"	2006-08-25	NA	5.53790534618755	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"4566"	2007-09-02	NA	4.47250219106047	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"202490"	2007-04-04	NA	4.9874014022787	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"675009"	2008-05-27	NA	3.73849693251534	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"HH9903"	1999-10-29	NA	10.4267090271691	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H20011"	2000-03-30	NA	10.0076687116564	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"P21002"	2001-02-15	NA	9.12576687116564	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"P20335"	2003-11-23	NA	6.35681419807187	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"10"	1989-12-28	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"980035"	1998-07-20	NA	6.84980280455741	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"5113"	2009-06-25	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"5243"	2010-01-01	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"NONE"	1983-11-21	NA	28.0373575810692	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"3108"	1984-01-09	NA	15.8578001752848	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H20235"	2002-12-06	NA	11.4345968448729	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"617"	2004-08-12	NA	8.8546231375986	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"647"	2004-11-19	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"855"	2007-12-12	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"938"	2008-09-16	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"B1146"	2011-06-06	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"B1205"	2011-11-20	NA	1.58030236634531	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"41"	1980-03-02	NA	17.2025635407537	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H82002"	1982-12-10	NA	22.5597063978966	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"3106"	1983-05-24	NA	13.9351446099912	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H86005"	1986-07-29	NA	18.9252848378615	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M1751"	1991-10-20	NA	14.6499780893953	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"104145"	1991-02-18	NA	6.65534618755478	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"2285"	2004-08-10	NA	8.89844434706398	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025028"	2006-10-10	NA	8.0138036809816	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"675007"	2006-12-16	NA	6.54853198948291	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M0476"	2007-06-03	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M0504"	2007-10-21	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M0531"	2008-02-27	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025029"	2009-12-08	NA	4.85046012269939	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M0855"	2010-04-14	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M01244"	2010-08-19	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M01090"	2011-11-24	NA	2.70595968448729	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M01317"	2013-03-21	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H83004"	1983-12-01	NA	9.99945223488168	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H90002"	1990-01-01	NA	15.3620727432077	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"H97015"	1997-03-13	NA	8.16443908851884	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"S98102"	1998-10-27	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"S99001"	1999-01-04	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"SA0108"	2001-08-11	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"SA0112"	2001-09-17	NA	3.80422874671341	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"6223"	2001-12-14	NA	12.1466914986854	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"SD0002"	2004-03-02	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"SH0040"	2008-07-23	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"850034"	1985-07-09	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"025007"	1988-01-29	NA	17.6517309377739	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"1691"	1997-02-25	NA	9.59410604732691	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M20447"	2001-07-25	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"3103"	1982-06-03	NA	21.3902278702892	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"950025"	1995-05-18	NA	7.11273006134969	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"1598"	1996-06-06	NA	10.9826906222612	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M2239"	1996-04-30	NA	11.5058063102542	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"5687"	2008-08-07	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"5688"	2008-10-15	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"6186"	2011-02-09	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"6344"	2012-01-11	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
